rank_test_score,mean_test_score,param_clf__C,param_clf__class_weight,param_clf__solver
1,0.8354,10.0,balanced,saga
2,0.8347,10.0,balanced,lbfgs
3,0.8333,3.1622776601683795,balanced,lbfgs
4,0.8322,3.1622776601683795,balanced,saga
5,0.8255,1.0,balanced,lbfgs
6,0.8212,10.0,,saga
7,0.8211,10.0,,lbfgs
8,0.8122,3.1622776601683795,,saga
9,0.8121,1.0,balanced,saga
10,0.8113,3.1622776601683795,,lbfgs
11,0.8045,0.31622776601683794,balanced,lbfgs
12,0.8031,0.31622776601683794,balanced,saga
13,0.7722,0.1,balanced,lbfgs
14,0.7721,0.1,balanced,saga
15,0.7651,1.0,,saga
16,0.7648,1.0,,lbfgs
17,0.7383,0.03162277660168379,balanced,saga
18,0.7381,0.03162277660168379,balanced,lbfgs
19,0.7104,0.01,balanced,saga
20,0.7104,0.01,balanced,lbfgs
21,0.6438,0.31622776601683794,,saga
22,0.6422,0.31622776601683794,,lbfgs
23,0.3954,0.1,,lbfgs
24,0.3953,0.1,,saga
25,0.1972,0.03162277660168379,,saga
26,0.1969,0.03162277660168379,,lbfgs
27,0.1559,0.01,,saga
28,0.1558,0.01,,lbfgs
